AccID	log2FC	Pvalue	FDR	Style	H_3.readCount	C_3.readCount	H_3.fpkm	C_3.fpkm
Cxcl3	5.6634381829154	3.00398794937141e-14	2.01607315703276e-13	up	56	1	3.70304598983525	0.0730624673013311
Cxcl5	3.24840068363655	1.18515537907962e-37	1.80445716050064e-36	up	210	20	8.9578445849348	0.942621800357491
Cxcl9	2.01654793305104	3.04184193767538e-09	1.44155646298745e-08	up	76	17	1.76738366680957	0.436806831162545
Cxcr2	2.56512241857226	6.97736397445838e-172	4.49620176445388e-170	up	1262	193	27.8169288045958	4.7003520630523
Cxcr6	1.10119575869433	3.30567346924506e-12	1.95049806145045e-11	up	256	108	8.90681595187717	4.1517340300572
Cybb	1.77889694411523	7.29231334044182e-279	7.65200176872037e-277	up	3257	859	46.0475060182018	13.4185248237443
Cygb	-1.25972519179282	7.68949375356444e-43	1.316624454166e-41	down	335	726	9.6553344142637	23.1197103736331
Cyp1a1	-5.00112021065037	0	0	down	192	5565	4.62838040986943	148.223219454761
Cyp26b1	-2.18020441471895	1.81266912544407e-135	8.88036325493576e-134	down	265	1087	3.32655383269019	15.0765329573714
Cyp2a5	2.53811317953911	1.1436010940747e-79	3.33210600206004e-78	up	584	91	19.4909882175929	3.35571956125776
Cyp2ab1	1.28234801555989	5.23571105170583e-06	1.82638348232236e-05	up	86	32	1.84712588148432	0.759401194661406
Cyp2b19	2.6634381829154	0.00265773068507586	0.00610570377799233	up	14	2	0.343275066211005	0.054183552392812
Cyp2c23	-1.72887923986336	0.0125875542194805	0.0248676653133866	down	5	15	0.155662266883714	0.515974050821263
Cyp2e1	-1.28976760560566	1.22968644271363e-07	5.05479895588742e-07	down	47	104	1.71704198814003	4.19797310762798
Cyp2j9	-1.30003594105949	4.05218420364458e-06	1.43480211314638e-05	down	35	78	1.15436141558438	2.8424420268512
Cyp3a11	-3.46584483402957	0.0325699525634411	0.0576062141461466	down	0	5	0	0.158343572478994
Cyp4a12b	6.14148547972004	2.46114782614034e-10	1.2744790176712e-09	up	39	0	1.09401650985112	0
Cyp4f15	1.25818170442914	3.91864637405246e-09	1.84023520378091e-08	up	148	56	4.58635031793249	1.91741796105929
Cyp4f18	1.45127768418991	9.34998649511619e-56	2.02235780319157e-54	up	849	281	33.5129702670813	12.2556064422214
Cyp4f39	-1.14391673914221	0.00108147861024645	0.00269372298590657	down	24	48	1.00838775815401	2.22833671379069
Cyr61	-1.96742933423054	8.35081208268489e-94	2.77704735854596e-92	down	241	853	8.01946710612662	31.3617836363368
Cysltr2	2.07847568219424	6.52913302804008e-09	3.00882599185349e-08	up	70	15	2.60980488739776	0.617908990939116
Cyth4	1.10928665733189	1.72595542642056e-60	3.9534052761521e-59	up	1404	589	28.6792652719256	13.2935037799732
D430019H16Rik	-1.63249470343902	1.08626868546308e-24	1.15467164170032e-23	down	98	275	1.13792184063724	3.52811153888557
D430041D05Rik	-1.62934356631245	0.00108020287497967	0.00269097700488199	down	10	28	0.0516203107084218	0.159698891263025
D630003M21Rik	-1.65848991197197	0.00514429128234686	0.0111005757419545	down	7	20	0.0921408386969195	0.290875653519406
D630039A03Rik	1.13479928892386	1.69178263343785e-14	1.1523414165478e-13	up	296	122	7.0270017592068	3.20008443354579
D730001G18Rik	3.44104576157895	0.0016837895119289	0.00403413315647265	up	12	1	0.539629191863542	0.0496863900790846
D930020B18Rik	1.2040065642781	0.0133721435747132	0.0262573510829809	up	28	11	0.564062177762011	0.244841419658074
Daam2	-1.04438106559129	5.43805698197469e-11	2.95393581427307e-10	down	120	224	2.10278041899878	4.33694537253681
Dact3	-1.51568678451688	9.26145120111711e-34	1.2750916414304e-32	down	165	427	3.70870949275906	10.6044952540218
Dand5	-1.31724834202777	5.71476619325551e-08	2.4242097509221e-07	down	47	106	1.99345973244288	4.9675097717703
Dbh	-3.95127166119981	0.0080363172363693	0.016636097931327	down	0	7	0	0.203612957463584
Dbn1	-1.21638637747465	2.75652989858614e-20	2.47593460526563e-19	down	165	347	3.59796581429952	8.36037616748422
Dbp	2.20806858960134	1.29006418279667e-12	7.85058650424464e-12	up	97	19	3.54754052016335	0.767772383660804
Dcaf12l1	2.11911766669159	0.000582181358753248	0.00152056449738277	up	24	5	0.456644583768979	0.105113943327885
Dchs1	-1.54470025474081	5.52215873217399e-38	8.45750740736312e-37	down	178	470	1.11202552732825	3.24426161295626
Dck	1.47275462130629	1.30504771169677e-49	2.54935735379256e-48	up	736	240	16.0647505226901	5.78802859868635
Dcn	-2.30267243286641	0	0	down	778	3474	26.9566906411009	132.996449503508
Ddias	1.04872833880019	0.00375465085120459	0.00837783444241485	up	48	21	0.952118113544886	0.460248243974373
Ddx4	3.85608326085779	0.00748417542407521	0.0156106701142822	up	8	0	0.178324709720003	0
Ddx60	1.92137472110951	1.41803161328354e-44	2.5082039811268e-43	up	452	108	4.63548971804747	1.22378238620676
Dedd	-1.55895423842105	0.0167014337598196	0.0318914627185538	down	6	16	0.146316880697665	0.431108337005604
Depdc1b	1.22286559152942	2.79916534627903e-06	1.00931130317421e-05	up	98	38	2.56887076470038	1.10058358859532
Derl3	1.44104576157895	1.28495848146027e-05	4.28503440349538e-05	up	66	22	3.35664880359025	1.23625455648702
Deup1	2.12251624315345	3.1182827756364e-29	3.80714870327305e-28	up	255	53	5.17423067613646	1.18824154009123
Dgat2	1.20972021547249	1.10784600156096e-12	6.76823304651526e-12	up	230	90	6.83124752829908	2.95350663573551
Dgkb	-1.30618816804108	0.000329928626875266	0.000895141784656338	down	21	47	0.206840715749484	0.51149082811511
Dhrs9	3.43395633679263	4.05168042775471e-38	6.21764792915322e-37	up	203	17	3.18577864530793	0.29477573819869
Dhx58	1.6620161078462	4.50055931688854e-41	7.33406990464628e-40	up	507	145	14.1219751385633	4.46250525822226
Dio1	1.17801135574516	0.0399026379735287	0.0687396525489629	up	20	8	0.795074963159893	0.351391558713148
Diras1	3.6634381829154	0.0139923591722082	0.0273335016282257	up	7	0	0.159257311449061	0
Disp2	-2.65450639805347	1.11164950653056e-121	4.78224843114114e-120	down	136	775	1.03676403910513	6.52778699115717
Disp3	3.44104576157895	0.0263500298251758	0.0476358725551458	up	6	0	0.0763163586372711	0
Dkk2	-3.46584483402957	0.0325699525634411	0.0576062141461466	down	0	5	0	0.100177418054187
Dkk3	-1.07838357910315	2.80426458931077e-104	1.04437000172653e-102	down	1216	2324	24.3213880960421	51.3587165205199
Dlec1	1.3030359402134	1.20657613628287e-15	8.68309888622471e-15	up	259	95	2.98671697669685	1.21043414760118
Dlg2	1.92021359827751	7.95072313921431e-06	2.71313404421002e-05	up	46	11	0.347515616979929	0.0918189738625522
Dlgap5	1.31329021438058	1.90935584174221e-10	9.96046228493667e-10	up	162	59	2.34463187649629	0.943484821178585
Dlx4	-4.46584483402957	0.00105618770815932	0.00263559011934028	down	0	10	0	0.325291265460791
Dmrt2	5.17801135574516	6.30509192443276e-06	2.17595727969868e-05	up	20	0	0.572508175432561	0
Dmtn	-1.07162787833533	1.09343936780863e-12	6.68547770947562e-12	down	133	253	1.48676372270756	3.12488537352289
Dnaaf1	1.21301780557307	1.33080458357922e-08	5.99924388475626e-08	up	146	57	3.47707898635364	1.49989138828596
Dnaaf3	1.14713204286118	8.73666387412558e-11	4.66415916002648e-10	up	208	85	6.28338019446865	2.83708393711464
Dnah1	1.13947675432617	2.22532732868532e-15	1.57877265484162e-14	up	314	129	1.63888471080807	0.743929398258364
Dnah5	1.283815832985	5.4007227920345e-86	1.68420130442361e-84	up	1598	594	6.86575221272901	2.81981782095175
Dnah7b	1.06419145618799	1.95149230837871e-09	9.39450574988263e-09	up	201	87	1.09663397042303	0.524454897653018
Dnah9	1.17801135574516	9.19449946258715e-43	1.57085342853662e-41	up	890	356	4.11433376484138	1.81837213053205
Dnaic2	1.00709104895748	3.86046071056295e-13	2.42430064031713e-12	up	322	145	6.839454528175	3.40296006412649
Dnajb3	-1.72887923986336	0.000110818607016145	0.000324596938317753	down	12	36	0.76708469328652	2.54265728260084
Dnajc6	1.01654793305104	0.0119563412851743	0.0237202325190032	up	38	17	0.439034515340743	0.217013746384968
Dnase1l3	1.77494649813239	6.56862527279216e-12	3.79504280083565e-11	up	121	32	1.71250136103399	0.500401714114362
Dnmt3l	-3.95127166119981	0.0080363172363693	0.016636097931327	down	0	7	0	0.194614332377179
Doc2b	2.22531707052351	2.01741180887891e-19	1.73191848490268e-18	up	155	30	2.38786845447987	0.510649851718545
Doc2g	1.02600826230011	0.0327730716286651	0.0578699036262841	up	27	12	1.25446993668693	0.616028769943174
Dock3	-2.14391673914221	0.0100090917501312	0.0202502859405338	down	3	12	0.0222389388901063	0.0982872780909003
Dok2	1.87214311175389	4.28034877096644e-76	1.19342578838615e-74	up	813	201	30.429224154117	8.31227009604938
Dpp6	1.03665550649961	0.0156894533386583	0.0302116813824382	up	34	15	0.353216386138607	0.172177516881442
Dppa5a	2.55652297899889	0.00463708537212987	0.0101050916760229	up	13	2	1.41096905820863	0.239843188297746
Dpt	-1.47122617149832	3.5224396097844e-261	3.5292572348356e-259	down	1445	3626	56.3112765018741	156.127203328063
Dpy19l2	1.97156047827773	0.0156777099109372	0.0301965564823087	up	13	3	0.253744871304806	0.0646991285108824
